NIM;TUGAS1;TUGAS2;QUIZ1;QUIZ2;UTS;UAS
1101110061;50;75;50;78;79;40
70;1101110062;80;60;50;65;26
1101110063;60;75;77;79;80;51
1101110064;52;85;50;80;80;30
50;70;85;1101110065;80;80;88
1101110066;75;80;50;95;90;67
1101110067;72;80;70;90;85;86
60;95;80;1101110068;95;72;85
1101110069;76;95;90;100;95;79
1101110070;94;80;90;100;100;66
1101110071;92;75;60;92;86;79
1101110072;59;85;60;80;80;42
67;1101110073;80;70;90;85;61
1101110074;60;85;60;82;81;64
1101110075;98;95;80;100;100;100
56;50;1101110076;70;70;85;70
1101110077;100;100;90;90;95;96
1101110078;60;90;60;80;80;32
1101110079;66;100;90;90;95;100
1101110080;50;80;60;80;80;91
1101110081;73;95;90;90;95;88
1101110082;100;95;90;98;99;100
1101110083;80;95;90;90;95;100
1101110084;50;51;50;51;51;51
1101110085;62;95;90;90;95;58
75;80;1101110086;90;90;95;92
1101110087;60;95;70;70;85;64
1101110088;64;80;80;80;90;54
1101110089;85;85;90;95;90;100
77;50;90;1101110090;60;70;15
1101110091;60;80;80;80;80;72
1101110092;67;95;70;90;85;92
1101110093;60;90;60;84;82;71
1101110094;52;70;50;78;79;25
1101110095;53;100;90;90;95;74
1101110096;50;85;60;80;80;42
77;71;85;63;91;1101110097;73
1101110098;50;66;70;90;85;37
1101110099;88;90;80;88;94;56
88;85;85;90;95;1101110100;100
67;50;90;1101110101;60;70;15
